"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","557","login with invalid email @Regression,@Smoke","chromium","Sat Feb 21 21:24:25 UTC 2026","passed","Sat Feb 21 21:24:25 UTC 2026","Login tests","login.spec.ts","",""
"","594","should show error when username is missing","chromium","Sat Feb 21 21:24:22 UTC 2026","passed","Sat Feb 21 21:24:23 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","883","Verify home title and filter dropdown @Regression,@Smoke","chromium","Sat Feb 21 21:24:15 UTC 2026","passed","Sat Feb 21 21:24:15 UTC 2026","Home tests","home.spec.ts","",""
"","885","Verify adding item to cart and cart badge update @Regression,@Smoke","chromium","Sat Feb 21 21:24:16 UTC 2026","passed","Sat Feb 21 21:24:17 UTC 2026","Home tests","home.spec.ts","",""
"","586","login with locked out user @Regression,@Smoke","chromium","Sat Feb 21 21:24:24 UTC 2026","passed","Sat Feb 21 21:24:25 UTC 2026","Login tests","login.spec.ts","",""
"","558","login with invalid password @Regression,@Smoke","chromium","Sat Feb 21 21:24:25 UTC 2026","passed","Sat Feb 21 21:24:26 UTC 2026","Login tests","login.spec.ts","",""
"","572","should show error when credentials are empty","chromium","Sat Feb 21 21:24:21 UTC 2026","passed","Sat Feb 21 21:24:22 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","617","login with invalid email and password @Regression,@Smoke","chromium","Sat Feb 21 21:24:26 UTC 2026","passed","Sat Feb 21 21:24:26 UTC 2026","Login tests","login.spec.ts","",""
"","657","should successfully login with valid credentials","chromium","Sat Feb 21 21:24:19 UTC 2026","passed","Sat Feb 21 21:24:19 UTC 2026","","login_analysis.spec.ts","",""
"","584","should show error for invalid credentials","chromium","Sat Feb 21 21:24:20 UTC 2026","passed","Sat Feb 21 21:24:21 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","1123","Verifi removing item from cart and cart badge update @Regression,@Smoke","chromium","Sat Feb 21 21:24:17 UTC 2026","passed","Sat Feb 21 21:24:19 UTC 2026","Home tests","home.spec.ts","",""
"","637","should show error for locked_out_user","chromium","Sat Feb 21 21:24:19 UTC 2026","passed","Sat Feb 21 21:24:20 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","563","should show error when password is missing","chromium","Sat Feb 21 21:24:22 UTC 2026","passed","Sat Feb 21 21:24:22 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","758","Verify if all elements on home page are visible @Regression,@Smoke","chromium","Sat Feb 21 21:24:16 UTC 2026","passed","Sat Feb 21 21:24:16 UTC 2026","Home tests","home.spec.ts","",""
"","595","should show error for invalid password","chromium","Sat Feb 21 21:24:20 UTC 2026","passed","Sat Feb 21 21:24:20 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","539","login with empty credentials @Regression,@Smoke,@Sanity","chromium","Sat Feb 21 21:24:23 UTC 2026","passed","Sat Feb 21 21:24:24 UTC 2026","Login tests","login.spec.ts","",""
"","1547","Verify user can log out successfully @Regression,@Smoke","chromium","Sat Feb 21 21:24:26 UTC 2026","passed","Sat Feb 21 21:24:28 UTC 2026","Logout tests","logout.spec.ts","",""
"","638","login with valid credentials @Regression,@Smoke,@Sanity","chromium","Sat Feb 21 21:24:23 UTC 2026","passed","Sat Feb 21 21:24:23 UTC 2026","Login tests","login.spec.ts","",""
