"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","470","login with invalid password @Regression,@Smoke","chromium","Tue Mar 17 08:56:12 UTC 2026","passed","Tue Mar 17 08:56:12 UTC 2026","Login tests","login.spec.ts","",""
"","560","login with valid credentials @Regression,@Smoke,@Sanity","chromium","Tue Mar 17 08:56:10 UTC 2026","passed","Tue Mar 17 08:56:10 UTC 2026","Login tests","login.spec.ts","",""
"","585","Verify that the Sauce Labs Bolt T-shirt product page displays correct information @Regression","chromium","Tue Mar 17 08:56:19 UTC 2026","passed","Tue Mar 17 08:56:20 UTC 2026","Sauce Labs Bolt T-shirt","sauceLabsBoltTshirt.spec.ts","",""
"","480","login with invalid email and password @Regression,@Smoke","chromium","Tue Mar 17 08:56:12 UTC 2026","passed","Tue Mar 17 08:56:12 UTC 2026","Login tests","login.spec.ts","",""
"","476","should show error when password is missing","chromium","Tue Mar 17 08:56:09 UTC 2026","passed","Tue Mar 17 08:56:09 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","617","Verify that the user can add the Sauce Labs Bike Light to the cart @Regression","chromium","Tue Mar 17 08:56:17 UTC 2026","passed","Tue Mar 17 08:56:18 UTC 2026","Sauce Labs Bike Light tests","SauceLabsBikeLight.spec.ts","",""
"","995","Verifi removing item from cart and cart badge update @Regression,@Smoke","chromium","Tue Mar 17 08:56:05 UTC 2026","passed","Tue Mar 17 08:56:06 UTC 2026","Home tests","home.spec.ts","",""
"","456","should show error when username is missing","chromium","Tue Mar 17 08:56:09 UTC 2026","passed","Tue Mar 17 08:56:10 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","586","Verify that the Sauce Labs Onesie product page displays correct information @Regression","chromium","Tue Mar 17 08:56:24 UTC 2026","passed","Tue Mar 17 08:56:25 UTC 2026","Sauce Labs Onesie","sauceLabsOnesie.spec.ts","",""
"","639","Verify that the user can add the Sauce Labs Red T-Shirt to the cart @Regression","chromium","Tue Mar 17 08:56:28 UTC 2026","passed","Tue Mar 17 08:56:28 UTC 2026","Sauce Labs Red T-Shirt","sauceLabsRedTshirt.spec.ts","",""
"","820","Verify that the user can add the Sauce Labs Backpack to the cart @Regression","chromium","Tue Mar 17 08:56:15 UTC 2026","passed","Tue Mar 17 08:56:15 UTC 2026","Sauce Labs Backpack tests","sauceLabsBackpack.spec.ts","",""
"","449","should show error when credentials are empty","chromium","Tue Mar 17 08:56:08 UTC 2026","passed","Tue Mar 17 08:56:09 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","1441","Verify user can log out successfully @Regression,@Smoke","chromium","Tue Mar 17 08:56:12 UTC 2026","passed","Tue Mar 17 08:56:14 UTC 2026","Logout tests","logout.spec.ts","",""
"","438","login with empty credentials @Regression,@Smoke,@Sanity","chromium","Tue Mar 17 08:56:10 UTC 2026","passed","Tue Mar 17 08:56:11 UTC 2026","Login tests","login.spec.ts","",""
