"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","515","login with invalid password @Regression,@Smoke","chromium","Sun Feb 22 09:32:18 UTC 2026","passed","Sun Feb 22 09:32:19 UTC 2026","Login tests","login.spec.ts","",""
"","1173","Verifi removing item from cart and cart badge update @Regression,@Smoke","chromium","Sun Feb 22 09:32:11 UTC 2026","passed","Sun Feb 22 09:32:12 UTC 2026","Home tests","home.spec.ts","",""
"","507","login with invalid email and password @Regression,@Smoke","chromium","Sun Feb 22 09:32:19 UTC 2026","passed","Sun Feb 22 09:32:19 UTC 2026","Login tests","login.spec.ts","",""
"","486","login with empty credentials @Regression,@Smoke,@Sanity","chromium","Sun Feb 22 09:32:17 UTC 2026","passed","Sun Feb 22 09:32:17 UTC 2026","Login tests","login.spec.ts","",""
"","510","should show error when password is missing","chromium","Sun Feb 22 09:32:15 UTC 2026","passed","Sun Feb 22 09:32:16 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","519","should show error for invalid credentials","chromium","Sun Feb 22 09:32:14 UTC 2026","passed","Sun Feb 22 09:32:15 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","511","login with invalid email @Regression,@Smoke","chromium","Sun Feb 22 09:32:18 UTC 2026","passed","Sun Feb 22 09:32:18 UTC 2026","Login tests","login.spec.ts","",""
"","880","Verify adding item to cart and cart badge update @Regression,@Smoke","chromium","Sun Feb 22 09:32:10 UTC 2026","passed","Sun Feb 22 09:32:11 UTC 2026","Home tests","home.spec.ts","",""
"","572","should show error for locked_out_user","chromium","Sun Feb 22 09:32:13 UTC 2026","passed","Sun Feb 22 09:32:13 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","512","login with locked out user @Regression,@Smoke","chromium","Sun Feb 22 09:32:17 UTC 2026","passed","Sun Feb 22 09:32:18 UTC 2026","Login tests","login.spec.ts","",""
"","661","should successfully login with valid credentials","chromium","Sun Feb 22 09:32:12 UTC 2026","passed","Sun Feb 22 09:32:13 UTC 2026","","login_analysis.spec.ts","",""
"","1496","Verify user can log out successfully @Regression,@Smoke","chromium","Sun Feb 22 09:32:19 UTC 2026","passed","Sun Feb 22 09:32:21 UTC 2026","Logout tests","logout.spec.ts","",""
"","500","should show error when credentials are empty","chromium","Sun Feb 22 09:32:15 UTC 2026","passed","Sun Feb 22 09:32:15 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","555","should show error for invalid password","chromium","Sun Feb 22 09:32:13 UTC 2026","passed","Sun Feb 22 09:32:14 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","517","should show error when username is missing","chromium","Sun Feb 22 09:32:16 UTC 2026","passed","Sun Feb 22 09:32:16 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","629","login with valid credentials @Regression,@Smoke,@Sanity","chromium","Sun Feb 22 09:32:16 UTC 2026","passed","Sun Feb 22 09:32:17 UTC 2026","Login tests","login.spec.ts","",""
"","841","Verify home title and filter dropdown @Regression,@Smoke","chromium","Sun Feb 22 09:32:07 UTC 2026","passed","Sun Feb 22 09:32:08 UTC 2026","Home tests","home.spec.ts","",""
"","696","Verify if all elements on home page are visible @Regression,@Smoke","chromium","Sun Feb 22 09:32:09 UTC 2026","passed","Sun Feb 22 09:32:10 UTC 2026","Home tests","home.spec.ts","",""
