"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","509","should show error for invalid password","chromium","Mon Feb 23 21:45:14 UTC 2026","passed","Mon Feb 23 21:45:15 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","1059","Verifi removing item from cart and cart badge update @Regression,@Smoke","chromium","Mon Feb 23 21:45:12 UTC 2026","passed","Mon Feb 23 21:45:13 UTC 2026","Home tests","home.spec.ts","",""
"","648","Verify if all elements on home page are visible @Regression,@Smoke","chromium","Mon Feb 23 21:45:11 UTC 2026","passed","Mon Feb 23 21:45:11 UTC 2026","Home tests","home.spec.ts","",""
"","491","login with invalid password @Regression,@Smoke","chromium","Mon Feb 23 21:45:19 UTC 2026","passed","Mon Feb 23 21:45:20 UTC 2026","Login tests","login.spec.ts","",""
"","495","login with invalid email and password @Regression,@Smoke","chromium","Mon Feb 23 21:45:20 UTC 2026","passed","Mon Feb 23 21:45:20 UTC 2026","Login tests","login.spec.ts","",""
"","598","login with valid credentials @Regression,@Smoke,@Sanity","chromium","Mon Feb 23 21:45:17 UTC 2026","passed","Mon Feb 23 21:45:18 UTC 2026","Login tests","login.spec.ts","",""
"","483","should show error when credentials are empty","chromium","Mon Feb 23 21:45:15 UTC 2026","passed","Mon Feb 23 21:45:16 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","515","should show error for locked_out_user","chromium","Mon Feb 23 21:45:14 UTC 2026","passed","Mon Feb 23 21:45:14 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","502","should show error when username is missing","chromium","Mon Feb 23 21:45:16 UTC 2026","passed","Mon Feb 23 21:45:17 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","510","login with invalid email @Regression,@Smoke","chromium","Mon Feb 23 21:45:19 UTC 2026","passed","Mon Feb 23 21:45:19 UTC 2026","Login tests","login.spec.ts","",""
"","478","should show error when password is missing","chromium","Mon Feb 23 21:45:16 UTC 2026","passed","Mon Feb 23 21:45:16 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","803","Verify adding item to cart and cart badge update @Regression,@Smoke","chromium","Mon Feb 23 21:45:11 UTC 2026","passed","Mon Feb 23 21:45:12 UTC 2026","Home tests","home.spec.ts","",""
"","731","Verify home title and filter dropdown @Regression,@Smoke","chromium","Mon Feb 23 21:45:09 UTC 2026","passed","Mon Feb 23 21:45:10 UTC 2026","Home tests","home.spec.ts","",""
"","601","should successfully login with valid credentials","chromium","Mon Feb 23 21:45:13 UTC 2026","passed","Mon Feb 23 21:45:14 UTC 2026","","login_analysis.spec.ts","",""
"","1490","Verify user can log out successfully @Regression,@Smoke","chromium","Mon Feb 23 21:45:20 UTC 2026","passed","Mon Feb 23 21:45:22 UTC 2026","Logout tests","logout.spec.ts","",""
"","531","should show error for invalid credentials","chromium","Mon Feb 23 21:45:15 UTC 2026","passed","Mon Feb 23 21:45:15 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","503","login with locked out user @Regression,@Smoke","chromium","Mon Feb 23 21:45:18 UTC 2026","passed","Mon Feb 23 21:45:19 UTC 2026","Login tests","login.spec.ts","",""
"","483","login with empty credentials @Regression,@Smoke,@Sanity","chromium","Mon Feb 23 21:45:18 UTC 2026","passed","Mon Feb 23 21:45:18 UTC 2026","Login tests","login.spec.ts","",""
