"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","523","login with empty credentials @Regression,@Smoke,@Sanity","chromium","Tue Feb 24 09:01:04 UTC 2026","passed","Tue Feb 24 09:01:04 UTC 2026","Login tests","login.spec.ts","",""
"","909","Verify adding item to cart and cart badge update @Regression,@Smoke","chromium","Tue Feb 24 09:00:57 UTC 2026","passed","Tue Feb 24 09:00:58 UTC 2026","Home tests","home.spec.ts","",""
"","570","login with invalid email and password @Regression,@Smoke","chromium","Tue Feb 24 09:01:06 UTC 2026","passed","Tue Feb 24 09:01:06 UTC 2026","Login tests","login.spec.ts","",""
"","662","should successfully login with valid credentials","chromium","Tue Feb 24 09:00:59 UTC 2026","passed","Tue Feb 24 09:01:00 UTC 2026","","login_analysis.spec.ts","",""
"","575","login with invalid password @Regression,@Smoke","chromium","Tue Feb 24 09:01:05 UTC 2026","passed","Tue Feb 24 09:01:06 UTC 2026","Login tests","login.spec.ts","",""
"","684","Verify that the Sauce Labs Backpack product page displays correct information @Regression","chromium","Tue Feb 24 09:01:08 UTC 2026","passed","Tue Feb 24 09:01:09 UTC 2026","Sauce Labs Backpack tests","sauceLabsBackpack.spec.ts","",""
"","792","Verify home title and filter dropdown @Regression,@Smoke","chromium","Tue Feb 24 09:00:54 UTC 2026","passed","Tue Feb 24 09:00:55 UTC 2026","Home tests","home.spec.ts","",""
"","565","login with locked out user @Regression,@Smoke","chromium","Tue Feb 24 09:01:04 UTC 2026","passed","Tue Feb 24 09:01:05 UTC 2026","Login tests","login.spec.ts","",""
"","707","Verify that the Sauce Labs Red T-Shirt product page displays correct information @Regression","chromium","Tue Feb 24 09:01:12 UTC 2026","passed","Tue Feb 24 09:01:12 UTC 2026","Sauce Labs Red T-Shirt","sauceLabsRedTshirt.spec.ts","",""
"","712","Verify that the Sauce Labs Fleece Jacket product page displays correct information @Regression","chromium","Tue Feb 24 09:01:10 UTC 2026","passed","Tue Feb 24 09:01:11 UTC 2026","Sauce Labs Fleece Jacket","sauceLabsFleeceJacket.spec.ts","",""
"","555","should show error when password is missing","chromium","Tue Feb 24 09:01:02 UTC 2026","passed","Tue Feb 24 09:01:02 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","579","should show error for invalid password","chromium","Tue Feb 24 09:01:00 UTC 2026","passed","Tue Feb 24 09:01:01 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","593","should show error for locked_out_user","chromium","Tue Feb 24 09:01:00 UTC 2026","passed","Tue Feb 24 09:01:00 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","690","Verify that the Sauce Labs Onesie product page displays correct information @Regression","chromium","Tue Feb 24 09:01:11 UTC 2026","passed","Tue Feb 24 09:01:12 UTC 2026","Sauce Labs Onesie","sauceLabsOnesie.spec.ts","",""
"","532","should show error when credentials are empty","chromium","Tue Feb 24 09:01:01 UTC 2026","passed","Tue Feb 24 09:01:02 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","679","Verify that the Sauce Labs Bolt T-shirt product page displays correct information @Regression","chromium","Tue Feb 24 09:01:09 UTC 2026","passed","Tue Feb 24 09:01:10 UTC 2026","Sauce Labs Bolt T-shirt","sauceLabsBoltTshirt.spec.ts","",""
"","1082","Verifi removing item from cart and cart badge update @Regression,@Smoke","chromium","Tue Feb 24 09:00:58 UTC 2026","passed","Tue Feb 24 09:00:59 UTC 2026","Home tests","home.spec.ts","",""
"","735","Verify if all elements on home page are visible @Regression,@Smoke","chromium","Tue Feb 24 09:00:56 UTC 2026","passed","Tue Feb 24 09:00:57 UTC 2026","Home tests","home.spec.ts","",""
"","724","Verify that the Sauce Labs Bike Light product page displays correct information @Regression","chromium","Tue Feb 24 09:01:09 UTC 2026","passed","Tue Feb 24 09:01:09 UTC 2026","Sauce Labs Bike Light tests","SauceLabsBikeLight.spec.ts","",""
"","1545","Verify user can log out successfully @Regression,@Smoke","chromium","Tue Feb 24 09:01:06 UTC 2026","passed","Tue Feb 24 09:01:08 UTC 2026","Logout tests","logout.spec.ts","",""
"","544","should show error when username is missing","chromium","Tue Feb 24 09:01:02 UTC 2026","passed","Tue Feb 24 09:01:03 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","632","login with valid credentials @Regression,@Smoke,@Sanity","chromium","Tue Feb 24 09:01:03 UTC 2026","passed","Tue Feb 24 09:01:04 UTC 2026","Login tests","login.spec.ts","",""
"","562","login with invalid email @Regression,@Smoke","chromium","Tue Feb 24 09:01:05 UTC 2026","passed","Tue Feb 24 09:01:05 UTC 2026","Login tests","login.spec.ts","",""
"","564","should show error for invalid credentials","chromium","Tue Feb 24 09:01:01 UTC 2026","passed","Tue Feb 24 09:01:01 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
