"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","485","login with locked out user @Regression,@Smoke","chromium","Fri Feb 20 11:52:09 UTC 2026","passed","Fri Feb 20 11:52:09 UTC 2026","Login tests","login.spec.ts","",""
"","466","login with invalid password @Regression,@Smoke","chromium","Fri Feb 20 11:52:10 UTC 2026","passed","Fri Feb 20 11:52:10 UTC 2026","Login tests","login.spec.ts","",""
"","775","Verify adding item to cart and cart badge update @Regression,@Smoke","chromium","Fri Feb 20 11:51:58 UTC 2026","passed","Fri Feb 20 11:51:59 UTC 2026","Home tests","home.spec.ts","",""
"","634","Verify if all elements on home page are visible @Regression,@Smoke","chromium","Fri Feb 20 11:51:58 UTC 2026","passed","Fri Feb 20 11:51:58 UTC 2026","Home tests","home.spec.ts","",""
"","460","should show error for invalid credentials","chromium","Fri Feb 20 11:52:06 UTC 2026","passed","Fri Feb 20 11:52:06 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","449","should show error when username is missing","chromium","Fri Feb 20 11:52:07 UTC 2026","passed","Fri Feb 20 11:52:08 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","501","should show error for invalid password","chromium","Fri Feb 20 11:52:06 UTC 2026","passed","Fri Feb 20 11:52:06 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","541","should show error for locked_out_user","chromium","Fri Feb 20 11:52:05 UTC 2026","passed","Fri Feb 20 11:52:05 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","448","should successfully login with valid credentials","chromium","Fri Feb 20 11:52:03 UTC 2026","failed","Fri Feb 20 11:52:04 UTC 2026","","login_analysis.spec.ts","",""
"","1416","Verify user can log out successfully @Regression,@Smoke","chromium","Fri Feb 20 11:52:11 UTC 2026","passed","Fri Feb 20 11:52:12 UTC 2026","Logout tests","logout.spec.ts","",""
"","998","Verifi removing item from cart and cart badge update @Regression,@Smoke","chromium","Fri Feb 20 11:51:59 UTC 2026","passed","Fri Feb 20 11:52:00 UTC 2026","Home tests","home.spec.ts","",""
"","663","Verify home title and filter dropdown @Regression,@Smoke","chromium","Fri Feb 20 11:51:57 UTC 2026","passed","Fri Feb 20 11:51:58 UTC 2026","Home tests","home.spec.ts","",""
"","564","login with valid credentials @Regression,@Smoke,@Sanity","chromium","Fri Feb 20 11:52:08 UTC 2026","passed","Fri Feb 20 11:52:08 UTC 2026","Login tests","login.spec.ts","",""
"","458","should show error when password is missing","chromium","Fri Feb 20 11:52:07 UTC 2026","passed","Fri Feb 20 11:52:07 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","431","should show error when credentials are empty","chromium","Fri Feb 20 11:52:06 UTC 2026","passed","Fri Feb 20 11:52:07 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","440","login with empty credentials @Regression,@Smoke,@Sanity","chromium","Fri Feb 20 11:52:08 UTC 2026","passed","Fri Feb 20 11:52:09 UTC 2026","Login tests","login.spec.ts","",""
"","452","login with invalid email and password @Regression,@Smoke","chromium","Fri Feb 20 11:52:10 UTC 2026","passed","Fri Feb 20 11:52:11 UTC 2026","Login tests","login.spec.ts","",""
"","527","login with invalid email @Regression,@Smoke","chromium","Fri Feb 20 11:52:09 UTC 2026","passed","Fri Feb 20 11:52:10 UTC 2026","Login tests","login.spec.ts","",""
