"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1524","Verify user can log out successfully @Regression,@Smoke","chromium","Thu Feb 19 15:49:40 UTC 2026","passed","Thu Feb 19 15:49:42 UTC 2026","Logout tests","logout.spec.ts","",""
"","545","login with invalid email and password @Regression,@Smoke","chromium","Thu Feb 19 15:49:40 UTC 2026","passed","Thu Feb 19 15:49:40 UTC 2026","Login tests","login.spec.ts","",""
"","528","login with invalid email @Regression,@Smoke","chromium","Thu Feb 19 15:49:39 UTC 2026","passed","Thu Feb 19 15:49:39 UTC 2026","Login tests","login.spec.ts","",""
"","612","login with valid credentials @Regression,@Smoke,@Sanity","chromium","Thu Feb 19 15:49:37 UTC 2026","passed","Thu Feb 19 15:49:37 UTC 2026","Login tests","login.spec.ts","",""
"","502","login with empty credentials @Regression,@Smoke,@Sanity","chromium","Thu Feb 19 15:49:37 UTC 2026","passed","Thu Feb 19 15:49:38 UTC 2026","Login tests","login.spec.ts","",""
"","1063","Verifi removing item from cart and cart badge update @Regression,@Smoke","chromium","Thu Feb 19 15:49:36 UTC 2026","passed","Thu Feb 19 15:49:37 UTC 2026","Home tests","home.spec.ts","",""
"","677","Verify if all elements on home page are visible @Regression,@Smoke","chromium","Thu Feb 19 15:49:34 UTC 2026","passed","Thu Feb 19 15:49:35 UTC 2026","Home tests","home.spec.ts","",""
"","542","login with invalid password @Regression,@Smoke","chromium","Thu Feb 19 15:49:39 UTC 2026","passed","Thu Feb 19 15:49:40 UTC 2026","Login tests","login.spec.ts","",""
"","547","login with locked out user @Regression,@Smoke","chromium","Thu Feb 19 15:49:38 UTC 2026","passed","Thu Feb 19 15:49:38 UTC 2026","Login tests","login.spec.ts","",""
"","854","Verify adding item to cart and cart badge update @Regression,@Smoke","chromium","Thu Feb 19 15:49:35 UTC 2026","passed","Thu Feb 19 15:49:36 UTC 2026","Home tests","home.spec.ts","",""
"","700","Verify home title and filter dropdown @Regression,@Smoke","chromium","Thu Feb 19 15:49:33 UTC 2026","passed","Thu Feb 19 15:49:33 UTC 2026","Home tests","home.spec.ts","",""
