"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","655","Verify that the user can remove the Sauce Labs Backpack from the cart @Regression","chromium","Wed Feb 25 22:35:25 UTC 2026","passed","Wed Feb 25 22:35:26 UTC 2026","Sauce Labs Backpack tests","sauceLabsBackpack.spec.ts","",""
"","625","Verify that the Sauce Labs Red T-Shirt product page displays correct information @Regression","chromium","Wed Feb 25 22:35:37 UTC 2026","passed","Wed Feb 25 22:35:38 UTC 2026","Sauce Labs Red T-Shirt","sauceLabsRedTshirt.spec.ts","",""
"","444","should show error when credentials are empty","chromium","Wed Feb 25 22:35:18 UTC 2026","passed","Wed Feb 25 22:35:18 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","635","Verify that the user can add the Sauce Labs Red T-Shirt to the cart @Regression","chromium","Wed Feb 25 22:35:38 UTC 2026","passed","Wed Feb 25 22:35:38 UTC 2026","Sauce Labs Red T-Shirt","sauceLabsRedTshirt.spec.ts","",""
"","667","Verify that the user can add the Sauce Labs Fleece Jacket to the cart @Regression","chromium","Wed Feb 25 22:35:32 UTC 2026","passed","Wed Feb 25 22:35:33 UTC 2026","Sauce Labs Fleece Jacket","sauceLabsFleeceJacket.spec.ts","",""
"","468","login with invalid email @Regression,@Smoke","chromium","Wed Feb 25 22:35:21 UTC 2026","passed","Wed Feb 25 22:35:21 UTC 2026","Login tests","login.spec.ts","",""
"","610","Verify that the user can add the Sauce Labs Bolt T-shirt to the cart @Regression","chromium","Wed Feb 25 22:35:30 UTC 2026","passed","Wed Feb 25 22:35:30 UTC 2026","Sauce Labs Bolt T-shirt","sauceLabsBoltTshirt.spec.ts","",""
"","489","should show error for invalid password","chromium","Wed Feb 25 22:35:17 UTC 2026","passed","Wed Feb 25 22:35:17 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","596","Verify that the Sauce Labs Onesie product page displays correct information @Regression","chromium","Wed Feb 25 22:35:35 UTC 2026","passed","Wed Feb 25 22:35:35 UTC 2026","Sauce Labs Onesie","sauceLabsOnesie.spec.ts","",""
"","572","login with valid credentials @Regression,@Smoke,@Sanity","chromium","Wed Feb 25 22:35:19 UTC 2026","passed","Wed Feb 25 22:35:20 UTC 2026","Login tests","login.spec.ts","",""
"","719","Verify home title and filter dropdown @Regression,@Smoke","chromium","Wed Feb 25 22:35:11 UTC 2026","passed","Wed Feb 25 22:35:12 UTC 2026","Home tests","home.spec.ts","",""
"","577","Verify that the Sauce Labs Bolt T-shirt product page displays correct information @Regression","chromium","Wed Feb 25 22:35:29 UTC 2026","passed","Wed Feb 25 22:35:30 UTC 2026","Sauce Labs Bolt T-shirt","sauceLabsBoltTshirt.spec.ts","",""
"","689","Verify that the user can navigate back to products page from the Sauce Labs Fleece Jacket product page @Regression","chromium","Wed Feb 25 22:35:34 UTC 2026","passed","Wed Feb 25 22:35:35 UTC 2026","Sauce Labs Fleece Jacket","sauceLabsFleeceJacket.spec.ts","",""
"","619","Verify that the Sauce Labs Backpack product page displays correct information @Regression","chromium","Wed Feb 25 22:35:24 UTC 2026","passed","Wed Feb 25 22:35:25 UTC 2026","Sauce Labs Backpack tests","sauceLabsBackpack.spec.ts","",""
"","593","should successfully login with valid credentials","chromium","Wed Feb 25 22:35:16 UTC 2026","passed","Wed Feb 25 22:35:16 UTC 2026","","login_analysis.spec.ts","",""
"","842","Verify adding item to cart and cart badge update @Regression,@Smoke","chromium","Wed Feb 25 22:35:14 UTC 2026","passed","Wed Feb 25 22:35:15 UTC 2026","Home tests","home.spec.ts","",""
"","508","should show error for invalid credentials","chromium","Wed Feb 25 22:35:17 UTC 2026","passed","Wed Feb 25 22:35:18 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","486","login with invalid email and password @Regression,@Smoke","chromium","Wed Feb 25 22:35:22 UTC 2026","passed","Wed Feb 25 22:35:22 UTC 2026","Login tests","login.spec.ts","",""
"","629","Verify that the Sauce Labs Bike Light product page displays correct information @Regression","chromium","Wed Feb 25 22:35:27 UTC 2026","passed","Wed Feb 25 22:35:27 UTC 2026","Sauce Labs Bike Light tests","SauceLabsBikeLight.spec.ts","",""
"","630","Verify that the Sauce Labs Fleece Jacket product page displays correct information @Regression","chromium","Wed Feb 25 22:35:32 UTC 2026","passed","Wed Feb 25 22:35:32 UTC 2026","Sauce Labs Fleece Jacket","sauceLabsFleeceJacket.spec.ts","",""
"","481","should show error when username is missing","chromium","Wed Feb 25 22:35:19 UTC 2026","passed","Wed Feb 25 22:35:19 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","494","login with invalid password @Regression,@Smoke","chromium","Wed Feb 25 22:35:21 UTC 2026","passed","Wed Feb 25 22:35:22 UTC 2026","Login tests","login.spec.ts","",""
"","603","Verify that the user can add the Sauce Labs Backpack to the cart @Regression","chromium","Wed Feb 25 22:35:25 UTC 2026","passed","Wed Feb 25 22:35:25 UTC 2026","Sauce Labs Backpack tests","sauceLabsBackpack.spec.ts","",""
"","711","Verify that the user can navigate back to products page from the Sauce Labs Bolt T-shirt product page @Regression","chromium","Wed Feb 25 22:35:31 UTC 2026","passed","Wed Feb 25 22:35:32 UTC 2026","Sauce Labs Bolt T-shirt","sauceLabsBoltTshirt.spec.ts","",""
"","609","Verify that the user can add the Sauce Labs Onesie to the cart @Regression","chromium","Wed Feb 25 22:35:35 UTC 2026","passed","Wed Feb 25 22:35:36 UTC 2026","Sauce Labs Onesie","sauceLabsOnesie.spec.ts","",""
"","667","Verify that the user can navigate back to products page from the Sauce Labs Bike Light product page @Regression","chromium","Wed Feb 25 22:35:29 UTC 2026","passed","Wed Feb 25 22:35:29 UTC 2026","Sauce Labs Bike Light tests","SauceLabsBikeLight.spec.ts","",""
"","667","Verify if all elements on home page are visible @Regression,@Smoke","chromium","Wed Feb 25 22:35:13 UTC 2026","passed","Wed Feb 25 22:35:14 UTC 2026","Home tests","home.spec.ts","",""
"","677","Verify that the user can navigate back to the products page from the Sauce Labs Onesie product page @Regression","chromium","Wed Feb 25 22:35:36 UTC 2026","passed","Wed Feb 25 22:35:37 UTC 2026","Sauce Labs Onesie","sauceLabsOnesie.spec.ts","",""
"","1454","Verify user can log out successfully @Regression,@Smoke","chromium","Wed Feb 25 22:35:22 UTC 2026","passed","Wed Feb 25 22:35:24 UTC 2026","Logout tests","logout.spec.ts","",""
"","479","login with locked out user @Regression,@Smoke","chromium","Wed Feb 25 22:35:20 UTC 2026","passed","Wed Feb 25 22:35:21 UTC 2026","Login tests","login.spec.ts","",""
"","482","should show error when password is missing","chromium","Wed Feb 25 22:35:18 UTC 2026","passed","Wed Feb 25 22:35:19 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","445","login with empty credentials @Regression,@Smoke,@Sanity","chromium","Wed Feb 25 22:35:20 UTC 2026","passed","Wed Feb 25 22:35:20 UTC 2026","Login tests","login.spec.ts","",""
"","632","Verify that the user can remove the Sauce Labs Bolt T-shirt from the cart @Regression","chromium","Wed Feb 25 22:35:30 UTC 2026","passed","Wed Feb 25 22:35:31 UTC 2026","Sauce Labs Bolt T-shirt","sauceLabsBoltTshirt.spec.ts","",""
"","695","Verify that the user can remove the Sauce Labs Red T-Shirt from the cart @Regression","chromium","Wed Feb 25 22:35:38 UTC 2026","passed","Wed Feb 25 22:35:39 UTC 2026","Sauce Labs Red T-Shirt","sauceLabsRedTshirt.spec.ts","",""
