"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1450","Verify user can log out successfully @Regression,@Smoke","chromium","Thu Feb 19 13:06:06 UTC 2026","passed","Thu Feb 19 13:06:08 UTC 2026","Logout tests","logout.spec.ts","",""
"","501","login with empty credentials @Regression,@Smoke,@Sanity","chromium","Thu Feb 19 13:06:04 UTC 2026","passed","Thu Feb 19 13:06:04 UTC 2026","Login tests","login.spec.ts","",""
"","1043","Verifi removing item from cart and cart badge update @Regression,@Smoke","chromium","Thu Feb 19 13:06:02 UTC 2026","passed","Thu Feb 19 13:06:03 UTC 2026","Home tests","home.spec.ts","",""
"","821","Verify adding item to cart and cart badge update @Regression,@Smoke","chromium","Thu Feb 19 13:06:01 UTC 2026","passed","Thu Feb 19 13:06:02 UTC 2026","Home tests","home.spec.ts","",""
"","480","login with locked out user @Regression,@Smoke","chromium","Thu Feb 19 13:06:04 UTC 2026","passed","Thu Feb 19 13:06:05 UTC 2026","Login tests","login.spec.ts","",""
"","713","Verify if all elements on home page are visible @Regression,@Smoke","chromium","Thu Feb 19 13:06:00 UTC 2026","passed","Thu Feb 19 13:06:01 UTC 2026","Home tests","home.spec.ts","",""
"","1022","Verify home title and filter dropdown @Regression,@Smoke","chromium","Thu Feb 19 13:05:58 UTC 2026","passed","Thu Feb 19 13:05:59 UTC 2026","Home tests","home.spec.ts","",""
"","496","login with invalid password @Regression,@Smoke","chromium","Thu Feb 19 13:06:05 UTC 2026","passed","Thu Feb 19 13:06:06 UTC 2026","Login tests","login.spec.ts","",""
"","503","login with invalid email and password @Regression,@Smoke","chromium","Thu Feb 19 13:06:06 UTC 2026","passed","Thu Feb 19 13:06:06 UTC 2026","Login tests","login.spec.ts","",""
"","498","login with invalid email @Regression,@Smoke","chromium","Thu Feb 19 13:06:05 UTC 2026","passed","Thu Feb 19 13:06:05 UTC 2026","Login tests","login.spec.ts","",""
"","591","login with valid credentials @Regression,@Smoke,@Sanity","chromium","Thu Feb 19 13:06:03 UTC 2026","passed","Thu Feb 19 13:06:04 UTC 2026","Login tests","login.spec.ts","",""
