"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","512","login with valid credentials @Regression,@Smoke,@Sanity","chromium","Fri Feb 20 11:52:43 UTC 2026","passed","Fri Feb 20 11:52:43 UTC 2026","Login tests","login.spec.ts","",""
"","440","should show error for invalid credentials","chromium","Fri Feb 20 11:52:41 UTC 2026","passed","Fri Feb 20 11:52:42 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","423","should show error when username is missing","chromium","Fri Feb 20 11:52:42 UTC 2026","passed","Fri Feb 20 11:52:43 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","724","Verify adding item to cart and cart badge update @Regression,@Smoke","chromium","Fri Feb 20 11:52:34 UTC 2026","passed","Fri Feb 20 11:52:35 UTC 2026","Home tests","home.spec.ts","",""
"","400","should successfully login with valid credentials","chromium","Fri Feb 20 11:52:39 UTC 2026","failed","Fri Feb 20 11:52:39 UTC 2026","","login_analysis.spec.ts","",""
"","467","should show error for invalid password","chromium","Fri Feb 20 11:52:41 UTC 2026","passed","Fri Feb 20 11:52:41 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","432","login with invalid email @Regression,@Smoke","chromium","Fri Feb 20 11:52:44 UTC 2026","passed","Fri Feb 20 11:52:45 UTC 2026","Login tests","login.spec.ts","",""
"","435","login with locked out user @Regression,@Smoke","chromium","Fri Feb 20 11:52:44 UTC 2026","passed","Fri Feb 20 11:52:44 UTC 2026","Login tests","login.spec.ts","",""
"","553","Verify if all elements on home page are visible @Regression,@Smoke","chromium","Fri Feb 20 11:52:33 UTC 2026","passed","Fri Feb 20 11:52:34 UTC 2026","Home tests","home.spec.ts","",""
"","932","Verifi removing item from cart and cart badge update @Regression,@Smoke","chromium","Fri Feb 20 11:52:35 UTC 2026","passed","Fri Feb 20 11:52:36 UTC 2026","Home tests","home.spec.ts","",""
"","400","login with empty credentials @Regression,@Smoke,@Sanity","chromium","Fri Feb 20 11:52:43 UTC 2026","passed","Fri Feb 20 11:52:44 UTC 2026","Login tests","login.spec.ts","",""
"","1374","Verify user can log out successfully @Regression,@Smoke","chromium","Fri Feb 20 11:52:46 UTC 2026","passed","Fri Feb 20 11:52:47 UTC 2026","Logout tests","logout.spec.ts","",""
"","420","should show error when password is missing","chromium","Fri Feb 20 11:52:42 UTC 2026","passed","Fri Feb 20 11:52:42 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","424","login with invalid email and password @Regression,@Smoke","chromium","Fri Feb 20 11:52:45 UTC 2026","passed","Fri Feb 20 11:52:46 UTC 2026","Login tests","login.spec.ts","",""
"","436","login with invalid password @Regression,@Smoke","chromium","Fri Feb 20 11:52:45 UTC 2026","passed","Fri Feb 20 11:52:45 UTC 2026","Login tests","login.spec.ts","",""
"","410","should show error when credentials are empty","chromium","Fri Feb 20 11:52:42 UTC 2026","passed","Fri Feb 20 11:52:42 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","619","Verify home title and filter dropdown @Regression,@Smoke","chromium","Fri Feb 20 11:52:31 UTC 2026","passed","Fri Feb 20 11:52:32 UTC 2026","Home tests","home.spec.ts","",""
"","494","should show error for locked_out_user","chromium","Fri Feb 20 11:52:40 UTC 2026","passed","Fri Feb 20 11:52:41 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
