"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","684","Verify that the user can navigate back to the products page from the Sauce Labs Onesie product page @Regression","chromium","Wed Feb 25 14:50:11 UTC 2026","passed","Wed Feb 25 14:50:12 UTC 2026","Sauce Labs Onesie","sauceLabsOnesie.spec.ts","",""
"","646","Verify that the user can add the Sauce Labs Red T-Shirt to the cart @Regression","chromium","Wed Feb 25 14:50:12 UTC 2026","passed","Wed Feb 25 14:50:13 UTC 2026","Sauce Labs Red T-Shirt","sauceLabsRedTshirt.spec.ts","",""
"","694","Verify that the user can navigate back to products page from the Sauce Labs Bike Light product page @Regression","chromium","Wed Feb 25 14:50:03 UTC 2026","passed","Wed Feb 25 14:50:04 UTC 2026","Sauce Labs Bike Light tests","SauceLabsBikeLight.spec.ts","",""
"","657","Verify that the user can navigate back to the products page from the Sauce Labs Red T-Shirt product page @Regression","chromium","Wed Feb 25 14:50:14 UTC 2026","passed","Wed Feb 25 14:50:14 UTC 2026","Sauce Labs Red T-Shirt","sauceLabsRedTshirt.spec.ts","",""
"","666","Verify that the user can add the Sauce Labs Bike Light to the cart @Regression","chromium","Wed Feb 25 14:50:02 UTC 2026","passed","Wed Feb 25 14:50:02 UTC 2026","Sauce Labs Bike Light tests","SauceLabsBikeLight.spec.ts","",""
"","664","Verify that the user can remove the Sauce Labs Onesie from the cart @Regression","chromium","Wed Feb 25 14:50:10 UTC 2026","passed","Wed Feb 25 14:50:11 UTC 2026","Sauce Labs Onesie","sauceLabsOnesie.spec.ts","",""
"","496","should show error for invalid password","chromium","Wed Feb 25 14:49:52 UTC 2026","passed","Wed Feb 25 14:49:52 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","486","should show error for invalid credentials","chromium","Wed Feb 25 14:49:52 UTC 2026","passed","Wed Feb 25 14:49:53 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","1449","Verify user can log out successfully @Regression,@Smoke","chromium","Wed Feb 25 14:49:57 UTC 2026","passed","Wed Feb 25 14:49:58 UTC 2026","Logout tests","logout.spec.ts","",""
"","693","Verify that the user can navigate back to the home page from the Sauce Labs Backpack product page @Regression","chromium","Wed Feb 25 14:50:00 UTC 2026","passed","Wed Feb 25 14:50:01 UTC 2026","Sauce Labs Backpack tests","sauceLabsBackpack.spec.ts","",""
"","453","login with empty credentials @Regression,@Smoke,@Sanity","chromium","Wed Feb 25 14:49:55 UTC 2026","passed","Wed Feb 25 14:49:55 UTC 2026","Login tests","login.spec.ts","",""
"","682","Verify if all elements on home page are visible @Regression,@Smoke","chromium","Wed Feb 25 14:49:48 UTC 2026","passed","Wed Feb 25 14:49:48 UTC 2026","Home tests","home.spec.ts","",""
"","483","should show error when password is missing","chromium","Wed Feb 25 14:49:53 UTC 2026","passed","Wed Feb 25 14:49:53 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","656","Verify that the user can remove the Sauce Labs Red T-Shirt from the cart @Regression","chromium","Wed Feb 25 14:50:13 UTC 2026","passed","Wed Feb 25 14:50:14 UTC 2026","Sauce Labs Red T-Shirt","sauceLabsRedTshirt.spec.ts","",""
"","660","Verify that the user can add the Sauce Labs Fleece Jacket to the cart @Regression","chromium","Wed Feb 25 14:50:07 UTC 2026","passed","Wed Feb 25 14:50:08 UTC 2026","Sauce Labs Fleece Jacket","sauceLabsFleeceJacket.spec.ts","",""
"","616","Verify that the Sauce Labs Onesie product page displays correct information @Regression","chromium","Wed Feb 25 14:50:09 UTC 2026","passed","Wed Feb 25 14:50:10 UTC 2026","Sauce Labs Onesie","sauceLabsOnesie.spec.ts","",""
"","496","login with locked out user @Regression,@Smoke","chromium","Wed Feb 25 14:49:55 UTC 2026","passed","Wed Feb 25 14:49:56 UTC 2026","Login tests","login.spec.ts","",""
"","472","login with invalid email and password @Regression,@Smoke","chromium","Wed Feb 25 14:49:57 UTC 2026","passed","Wed Feb 25 14:49:57 UTC 2026","Login tests","login.spec.ts","",""
"","642","Verify that the Sauce Labs Bike Light product page displays correct information @Regression","chromium","Wed Feb 25 14:50:01 UTC 2026","passed","Wed Feb 25 14:50:02 UTC 2026","Sauce Labs Bike Light tests","SauceLabsBikeLight.spec.ts","",""
"","673","Verify that the user can remove the Sauce Labs Bike Light from the cart @Regression","chromium","Wed Feb 25 14:50:02 UTC 2026","passed","Wed Feb 25 14:50:03 UTC 2026","Sauce Labs Bike Light tests","SauceLabsBikeLight.spec.ts","",""
"","507","should show error for locked_out_user","chromium","Wed Feb 25 14:49:51 UTC 2026","passed","Wed Feb 25 14:49:52 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","470","should show error when username is missing","chromium","Wed Feb 25 14:49:54 UTC 2026","passed","Wed Feb 25 14:49:54 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","615","Verify that the user can add the Sauce Labs Bolt T-shirt to the cart @Regression","chromium","Wed Feb 25 14:50:04 UTC 2026","passed","Wed Feb 25 14:50:05 UTC 2026","Sauce Labs Bolt T-shirt","sauceLabsBoltTshirt.spec.ts","",""
"","671","Verify that the user can navigate back to products page from the Sauce Labs Bolt T-shirt product page @Regression","chromium","Wed Feb 25 14:50:06 UTC 2026","passed","Wed Feb 25 14:50:06 UTC 2026","Sauce Labs Bolt T-shirt","sauceLabsBoltTshirt.spec.ts","",""
"","614","Verify that the Sauce Labs Bolt T-shirt product page displays correct information @Regression","chromium","Wed Feb 25 14:50:04 UTC 2026","passed","Wed Feb 25 14:50:04 UTC 2026","Sauce Labs Bolt T-shirt","sauceLabsBoltTshirt.spec.ts","",""
"","657","Verify that the user can remove the Sauce Labs Bolt T-shirt from the cart @Regression","chromium","Wed Feb 25 14:50:05 UTC 2026","passed","Wed Feb 25 14:50:06 UTC 2026","Sauce Labs Bolt T-shirt","sauceLabsBoltTshirt.spec.ts","",""
"","657","Verify that the user can remove the Sauce Labs Backpack from the cart @Regression","chromium","Wed Feb 25 14:50:00 UTC 2026","passed","Wed Feb 25 14:50:00 UTC 2026","Sauce Labs Backpack tests","sauceLabsBackpack.spec.ts","",""
"","783","Verify home title and filter dropdown @Regression,@Smoke","chromium","Wed Feb 25 14:49:47 UTC 2026","passed","Wed Feb 25 14:49:48 UTC 2026","Home tests","home.spec.ts","",""
"","568","login with valid credentials @Regression,@Smoke,@Sanity","chromium","Wed Feb 25 14:49:54 UTC 2026","passed","Wed Feb 25 14:49:55 UTC 2026","Login tests","login.spec.ts","",""
"","679","Verify that the user can navigate back to products page from the Sauce Labs Fleece Jacket product page @Regression","chromium","Wed Feb 25 14:50:08 UTC 2026","passed","Wed Feb 25 14:50:09 UTC 2026","Sauce Labs Fleece Jacket","sauceLabsFleeceJacket.spec.ts","",""
"","1048","Verifi removing item from cart and cart badge update @Regression,@Smoke","chromium","Wed Feb 25 14:49:49 UTC 2026","passed","Wed Feb 25 14:49:50 UTC 2026","Home tests","home.spec.ts","",""
"","577","should successfully login with valid credentials","chromium","Wed Feb 25 14:49:50 UTC 2026","passed","Wed Feb 25 14:49:51 UTC 2026","","login_analysis.spec.ts","",""
"","631","Verify that the user can add the Sauce Labs Backpack to the cart @Regression","chromium","Wed Feb 25 14:49:59 UTC 2026","passed","Wed Feb 25 14:50:00 UTC 2026","Sauce Labs Backpack tests","sauceLabsBackpack.spec.ts","",""
"","699","Verify that the user can remove the Sauce Labs Fleece Jacket from the cart @Regression","chromium","Wed Feb 25 14:50:08 UTC 2026","passed","Wed Feb 25 14:50:08 UTC 2026","Sauce Labs Fleece Jacket","sauceLabsFleeceJacket.spec.ts","",""
"","639","Verify that the Sauce Labs Red T-Shirt product page displays correct information @Regression","chromium","Wed Feb 25 14:50:12 UTC 2026","passed","Wed Feb 25 14:50:12 UTC 2026","Sauce Labs Red T-Shirt","sauceLabsRedTshirt.spec.ts","",""
"","602","Verify that the Sauce Labs Backpack product page displays correct information @Regression","chromium","Wed Feb 25 14:49:58 UTC 2026","passed","Wed Feb 25 14:49:59 UTC 2026","Sauce Labs Backpack tests","sauceLabsBackpack.spec.ts","",""
"","854","Verify adding item to cart and cart badge update @Regression,@Smoke","chromium","Wed Feb 25 14:49:48 UTC 2026","passed","Wed Feb 25 14:49:49 UTC 2026","Home tests","home.spec.ts","",""
"","642","Verify that the Sauce Labs Fleece Jacket product page displays correct information @Regression","chromium","Wed Feb 25 14:50:06 UTC 2026","passed","Wed Feb 25 14:50:07 UTC 2026","Sauce Labs Fleece Jacket","sauceLabsFleeceJacket.spec.ts","",""
"","475","login with invalid password @Regression,@Smoke","chromium","Wed Feb 25 14:49:56 UTC 2026","passed","Wed Feb 25 14:49:57 UTC 2026","Login tests","login.spec.ts","",""
"","615","Verify that the user can add the Sauce Labs Onesie to the cart @Regression","chromium","Wed Feb 25 14:50:10 UTC 2026","passed","Wed Feb 25 14:50:10 UTC 2026","Sauce Labs Onesie","sauceLabsOnesie.spec.ts","",""
"","467","should show error when credentials are empty","chromium","Wed Feb 25 14:49:53 UTC 2026","passed","Wed Feb 25 14:49:53 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","489","login with invalid email @Regression,@Smoke","chromium","Wed Feb 25 14:49:56 UTC 2026","passed","Wed Feb 25 14:49:56 UTC 2026","Login tests","login.spec.ts","",""
