"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","688","Verify that the user can navigate back to products page from the Sauce Labs Bike Light product page @Regression","chromium","Tue Mar 10 08:45:19 UTC 2026","passed","Tue Mar 10 08:45:19 UTC 2026","Sauce Labs Bike Light tests","SauceLabsBikeLight.spec.ts","",""
"","660","Verify that the Sauce Labs Fleece Jacket product page displays correct information @Regression","chromium","Tue Mar 10 08:45:22 UTC 2026","passed","Tue Mar 10 08:45:23 UTC 2026","Sauce Labs Fleece Jacket","sauceLabsFleeceJacket.spec.ts","",""
"","683","Verify that the user can navigate back to the home page from the Sauce Labs Backpack product page @Regression","chromium","Tue Mar 10 08:45:16 UTC 2026","passed","Tue Mar 10 08:45:17 UTC 2026","Sauce Labs Backpack tests","sauceLabsBackpack.spec.ts","",""
"","499","should show error when password is missing","chromium","Tue Mar 10 08:45:08 UTC 2026","passed","Tue Mar 10 08:45:09 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","534","login with invalid password @Regression,@Smoke","chromium","Tue Mar 10 08:45:11 UTC 2026","passed","Tue Mar 10 08:45:12 UTC 2026","Login tests","login.spec.ts","",""
"","640","Verify that the user can remove the Sauce Labs Bolt T-shirt from the cart @Regression","chromium","Tue Mar 10 08:45:21 UTC 2026","passed","Tue Mar 10 08:45:21 UTC 2026","Sauce Labs Bolt T-shirt","sauceLabsBoltTshirt.spec.ts","",""
"","652","Verify if all elements on home page are visible @Regression,@Smoke","chromium","Tue Mar 10 08:45:03 UTC 2026","passed","Tue Mar 10 08:45:03 UTC 2026","Home tests","home.spec.ts","",""
"","705","Verify that the user can navigate back to products page from the Sauce Labs Fleece Jacket product page @Regression","chromium","Tue Mar 10 08:45:24 UTC 2026","passed","Tue Mar 10 08:45:25 UTC 2026","Sauce Labs Fleece Jacket","sauceLabsFleeceJacket.spec.ts","",""
"","705","Verify that the user can remove the Sauce Labs Onesie from the cart @Regression","chromium","Tue Mar 10 08:45:26 UTC 2026","passed","Tue Mar 10 08:45:27 UTC 2026","Sauce Labs Onesie","sauceLabsOnesie.spec.ts","",""
"","635","Verify that the Sauce Labs Red T-Shirt product page displays correct information @Regression","chromium","Tue Mar 10 08:45:27 UTC 2026","passed","Tue Mar 10 08:45:28 UTC 2026","Sauce Labs Red T-Shirt","sauceLabsRedTshirt.spec.ts","",""
"","481","should show error when credentials are empty","chromium","Tue Mar 10 08:45:08 UTC 2026","passed","Tue Mar 10 08:45:08 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","702","Verify that the user can navigate back to the products page from the Sauce Labs Red T-Shirt product page @Regression","chromium","Tue Mar 10 08:45:29 UTC 2026","passed","Tue Mar 10 08:45:30 UTC 2026","Sauce Labs Red T-Shirt","sauceLabsRedTshirt.spec.ts","",""
"","530","login with locked out user @Regression,@Smoke","chromium","Tue Mar 10 08:45:10 UTC 2026","passed","Tue Mar 10 08:45:11 UTC 2026","Login tests","login.spec.ts","",""
"","588","login with valid credentials @Regression,@Smoke,@Sanity","chromium","Tue Mar 10 08:45:09 UTC 2026","passed","Tue Mar 10 08:45:10 UTC 2026","Login tests","login.spec.ts","",""
"","654","Verify that the user can add the Sauce Labs Backpack to the cart @Regression","chromium","Tue Mar 10 08:45:14 UTC 2026","passed","Tue Mar 10 08:45:15 UTC 2026","Sauce Labs Backpack tests","sauceLabsBackpack.spec.ts","",""
"","614","Verify that the Sauce Labs Bolt T-shirt product page displays correct information @Regression","chromium","Tue Mar 10 08:45:19 UTC 2026","passed","Tue Mar 10 08:45:20 UTC 2026","Sauce Labs Bolt T-shirt","sauceLabsBoltTshirt.spec.ts","",""
"","659","Verify that the user can add the Sauce Labs Red T-Shirt to the cart @Regression","chromium","Tue Mar 10 08:45:28 UTC 2026","passed","Tue Mar 10 08:45:29 UTC 2026","Sauce Labs Red T-Shirt","sauceLabsRedTshirt.spec.ts","",""
"","689","Verify that the user can remove the Sauce Labs Fleece Jacket from the cart @Regression","chromium","Tue Mar 10 08:45:23 UTC 2026","passed","Tue Mar 10 08:45:24 UTC 2026","Sauce Labs Fleece Jacket","sauceLabsFleeceJacket.spec.ts","",""
"","688","Verify that the user can navigate back to the products page from the Sauce Labs Onesie product page @Regression","chromium","Tue Mar 10 08:45:27 UTC 2026","passed","Tue Mar 10 08:45:27 UTC 2026","Sauce Labs Onesie","sauceLabsOnesie.spec.ts","",""
"","1037","Verifi removing item from cart and cart badge update @Regression,@Smoke","chromium","Tue Mar 10 08:45:04 UTC 2026","passed","Tue Mar 10 08:45:05 UTC 2026","Home tests","home.spec.ts","",""
"","635","Verify that the user can add the Sauce Labs Onesie to the cart @Regression","chromium","Tue Mar 10 08:45:25 UTC 2026","passed","Tue Mar 10 08:45:26 UTC 2026","Sauce Labs Onesie","sauceLabsOnesie.spec.ts","",""
"","674","Verify that the user can navigate back to products page from the Sauce Labs Bolt T-shirt product page @Regression","chromium","Tue Mar 10 08:45:21 UTC 2026","passed","Tue Mar 10 08:45:22 UTC 2026","Sauce Labs Bolt T-shirt","sauceLabsBoltTshirt.spec.ts","",""
"","652","Verify that the Sauce Labs Bike Light product page displays correct information @Regression","chromium","Tue Mar 10 08:45:17 UTC 2026","passed","Tue Mar 10 08:45:17 UTC 2026","Sauce Labs Bike Light tests","SauceLabsBikeLight.spec.ts","",""
"","536","login with invalid email @Regression,@Smoke","chromium","Tue Mar 10 08:45:11 UTC 2026","passed","Tue Mar 10 08:45:11 UTC 2026","Login tests","login.spec.ts","",""
"","690","Verify that the user can remove the Sauce Labs Backpack from the cart @Regression","chromium","Tue Mar 10 08:45:15 UTC 2026","passed","Tue Mar 10 08:45:16 UTC 2026","Sauce Labs Backpack tests","sauceLabsBackpack.spec.ts","",""
"","662","Verify that the user can add the Sauce Labs Fleece Jacket to the cart @Regression","chromium","Tue Mar 10 08:45:23 UTC 2026","passed","Tue Mar 10 08:45:23 UTC 2026","Sauce Labs Fleece Jacket","sauceLabsFleeceJacket.spec.ts","",""
"","621","Verify that the Sauce Labs Onesie product page displays correct information @Regression","chromium","Tue Mar 10 08:45:25 UTC 2026","passed","Tue Mar 10 08:45:25 UTC 2026","Sauce Labs Onesie","sauceLabsOnesie.spec.ts","",""
"","1468","Verify user can log out successfully @Regression,@Smoke","chromium","Tue Mar 10 08:45:12 UTC 2026","passed","Tue Mar 10 08:45:14 UTC 2026","Logout tests","logout.spec.ts","",""
"","808","Verify adding item to cart and cart badge update @Regression,@Smoke","chromium","Tue Mar 10 08:45:03 UTC 2026","passed","Tue Mar 10 08:45:04 UTC 2026","Home tests","home.spec.ts","",""
"","701","Verify that the user can add the Sauce Labs Bike Light to the cart @Regression","chromium","Tue Mar 10 08:45:17 UTC 2026","passed","Tue Mar 10 08:45:18 UTC 2026","Sauce Labs Bike Light tests","SauceLabsBikeLight.spec.ts","",""
"","496","login with empty credentials @Regression,@Smoke,@Sanity","chromium","Tue Mar 10 08:45:10 UTC 2026","passed","Tue Mar 10 08:45:10 UTC 2026","Login tests","login.spec.ts","",""
