"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","744","Verify that the user can add the Sauce Labs Backpack to the cart @Regression","chromium","Sun Mar 15 08:39:22 UTC 2026","passed","Sun Mar 15 08:39:23 UTC 2026","Sauce Labs Backpack tests","sauceLabsBackpack.spec.ts","",""
"","745","Verify that the Sauce Labs Fleece Jacket product page displays correct information @Regression","chromium","Sun Mar 15 08:39:30 UTC 2026","passed","Sun Mar 15 08:39:31 UTC 2026","Sauce Labs Fleece Jacket","sauceLabsFleeceJacket.spec.ts","",""
"","763","Verify that the user can remove the Sauce Labs Red T-Shirt from the cart @Regression","chromium","Sun Mar 15 08:39:38 UTC 2026","passed","Sun Mar 15 08:39:39 UTC 2026","Sauce Labs Red T-Shirt","sauceLabsRedTshirt.spec.ts","",""
"","730","Verify that the Sauce Labs Bike Light product page displays correct information @Regression","chromium","Sun Mar 15 08:39:24 UTC 2026","passed","Sun Mar 15 08:39:25 UTC 2026","Sauce Labs Bike Light tests","SauceLabsBikeLight.spec.ts","",""
"","683","login with valid credentials @Regression,@Smoke,@Sanity","chromium","Sun Mar 15 08:39:16 UTC 2026","passed","Sun Mar 15 08:39:17 UTC 2026","Login tests","login.spec.ts","",""
"","768","Verify that the user can navigate back to products page from the Sauce Labs Bike Light product page @Regression","chromium","Sun Mar 15 08:39:27 UTC 2026","passed","Sun Mar 15 08:39:27 UTC 2026","Sauce Labs Bike Light tests","SauceLabsBikeLight.spec.ts","",""
"","763","Verify that the user can remove the Sauce Labs Fleece Jacket from the cart @Regression","chromium","Sun Mar 15 08:39:32 UTC 2026","passed","Sun Mar 15 08:39:33 UTC 2026","Sauce Labs Fleece Jacket","sauceLabsFleeceJacket.spec.ts","",""
"","768","Verify that the user can remove the Sauce Labs Onesie from the cart @Regression","chromium","Sun Mar 15 08:39:35 UTC 2026","passed","Sun Mar 15 08:39:36 UTC 2026","Sauce Labs Onesie","sauceLabsOnesie.spec.ts","",""
"","750","Verify that the user can navigate back to products page from the Sauce Labs Fleece Jacket product page @Regression","chromium","Sun Mar 15 08:39:33 UTC 2026","passed","Sun Mar 15 08:39:33 UTC 2026","Sauce Labs Fleece Jacket","sauceLabsFleeceJacket.spec.ts","",""
"","592","should show error for invalid password","chromium","Sun Mar 15 08:39:13 UTC 2026","passed","Sun Mar 15 08:39:14 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","576","should show error when credentials are empty","chromium","Sun Mar 15 08:39:14 UTC 2026","passed","Sun Mar 15 08:39:15 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","746","Verify that the user can add the Sauce Labs Bolt T-shirt to the cart @Regression","chromium","Sun Mar 15 08:39:28 UTC 2026","passed","Sun Mar 15 08:39:29 UTC 2026","Sauce Labs Bolt T-shirt","sauceLabsBoltTshirt.spec.ts","",""
"","685","Verify that the Sauce Labs Bolt T-shirt product page displays correct information @Regression","chromium","Sun Mar 15 08:39:27 UTC 2026","passed","Sun Mar 15 08:39:28 UTC 2026","Sauce Labs Bolt T-shirt","sauceLabsBoltTshirt.spec.ts","",""
"","584","should show error for invalid credentials","chromium","Sun Mar 15 08:39:14 UTC 2026","passed","Sun Mar 15 08:39:14 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","609","login with invalid email and password @Regression,@Smoke","chromium","Sun Mar 15 08:39:19 UTC 2026","passed","Sun Mar 15 08:39:20 UTC 2026","Login tests","login.spec.ts","",""
"","813","Verify home title and filter dropdown @Regression,@Smoke","chromium","Sun Mar 15 08:39:07 UTC 2026","passed","Sun Mar 15 08:39:08 UTC 2026","Home tests","home.spec.ts","",""
"","731","Verify that the user can add the Sauce Labs Red T-Shirt to the cart @Regression","chromium","Sun Mar 15 08:39:37 UTC 2026","passed","Sun Mar 15 08:39:38 UTC 2026","Sauce Labs Red T-Shirt","sauceLabsRedTshirt.spec.ts","",""
"","696","should successfully login with valid credentials","chromium","Sun Mar 15 08:39:12 UTC 2026","passed","Sun Mar 15 08:39:12 UTC 2026","","login_analysis.spec.ts","",""
"","608","login with invalid password @Regression,@Smoke","chromium","Sun Mar 15 08:39:18 UTC 2026","passed","Sun Mar 15 08:39:19 UTC 2026","Login tests","login.spec.ts","",""
"","607","should show error for locked_out_user","chromium","Sun Mar 15 08:39:12 UTC 2026","passed","Sun Mar 15 08:39:13 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","1102","Verifi removing item from cart and cart badge update @Regression,@Smoke","chromium","Sun Mar 15 08:39:11 UTC 2026","passed","Sun Mar 15 08:39:12 UTC 2026","Home tests","home.spec.ts","",""
"","568","should show error when username is missing","chromium","Sun Mar 15 08:39:15 UTC 2026","passed","Sun Mar 15 08:39:16 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","786","Verify if all elements on home page are visible @Regression,@Smoke","chromium","Sun Mar 15 08:39:09 UTC 2026","passed","Sun Mar 15 08:39:10 UTC 2026","Home tests","home.spec.ts","",""
"","889","Verify adding item to cart and cart badge update @Regression,@Smoke","chromium","Sun Mar 15 08:39:10 UTC 2026","passed","Sun Mar 15 08:39:11 UTC 2026","Home tests","home.spec.ts","",""
"","715","Verify that the user can add the Sauce Labs Onesie to the cart @Regression","chromium","Sun Mar 15 08:39:34 UTC 2026","passed","Sun Mar 15 08:39:35 UTC 2026","Sauce Labs Onesie","sauceLabsOnesie.spec.ts","",""
"","754","Verify that the user can navigate back to the products page from the Sauce Labs Onesie product page @Regression","chromium","Sun Mar 15 08:39:36 UTC 2026","passed","Sun Mar 15 08:39:36 UTC 2026","Sauce Labs Onesie","sauceLabsOnesie.spec.ts","",""
"","745","Verify that the user can remove the Sauce Labs Bolt T-shirt from the cart @Regression","chromium","Sun Mar 15 08:39:29 UTC 2026","passed","Sun Mar 15 08:39:30 UTC 2026","Sauce Labs Bolt T-shirt","sauceLabsBoltTshirt.spec.ts","",""
"","728","Verify that the user can remove the Sauce Labs Backpack from the cart @Regression","chromium","Sun Mar 15 08:39:23 UTC 2026","passed","Sun Mar 15 08:39:24 UTC 2026","Sauce Labs Backpack tests","sauceLabsBackpack.spec.ts","",""
"","763","Verify that the user can remove the Sauce Labs Bike Light from the cart @Regression","chromium","Sun Mar 15 08:39:26 UTC 2026","passed","Sun Mar 15 08:39:27 UTC 2026","Sauce Labs Bike Light tests","SauceLabsBikeLight.spec.ts","",""
"","738","Verify that the user can navigate back to products page from the Sauce Labs Bolt T-shirt product page @Regression","chromium","Sun Mar 15 08:39:30 UTC 2026","passed","Sun Mar 15 08:39:30 UTC 2026","Sauce Labs Bolt T-shirt","sauceLabsBoltTshirt.spec.ts","",""
