"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","457","login with invalid password @Regression,@Smoke","chromium","Sat Feb 21 16:30:40 UTC 2026","passed","Sat Feb 21 16:30:40 UTC 2026","Login tests","login.spec.ts","",""
"","1464","Verify user can log out successfully @Regression,@Smoke","chromium","Sat Feb 21 16:30:41 UTC 2026","passed","Sat Feb 21 16:30:42 UTC 2026","Logout tests","logout.spec.ts","",""
"","913","Verify adding item to cart and cart badge update @Regression,@Smoke","chromium","Sat Feb 21 16:30:32 UTC 2026","passed","Sat Feb 21 16:30:33 UTC 2026","Home tests","home.spec.ts","",""
"","433","should show error when password is missing","chromium","Sat Feb 21 16:30:37 UTC 2026","passed","Sat Feb 21 16:30:37 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","489","login with locked out user @Regression,@Smoke","chromium","Sat Feb 21 16:30:39 UTC 2026","passed","Sat Feb 21 16:30:39 UTC 2026","Login tests","login.spec.ts","",""
"","728","Verify if all elements on home page are visible @Regression,@Smoke","chromium","Sat Feb 21 16:30:32 UTC 2026","passed","Sat Feb 21 16:30:32 UTC 2026","Home tests","home.spec.ts","",""
"","569","login with valid credentials @Regression,@Smoke,@Sanity","chromium","Sat Feb 21 16:30:38 UTC 2026","passed","Sat Feb 21 16:30:38 UTC 2026","Login tests","login.spec.ts","",""
"","491","should show error for invalid credentials","chromium","Sat Feb 21 16:30:36 UTC 2026","passed","Sat Feb 21 16:30:36 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","570","should successfully login with valid credentials","chromium","Sat Feb 21 16:30:34 UTC 2026","passed","Sat Feb 21 16:30:35 UTC 2026","","login_analysis.spec.ts","",""
"","472","should show error for locked_out_user","chromium","Sat Feb 21 16:30:35 UTC 2026","passed","Sat Feb 21 16:30:35 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","436","login with empty credentials @Regression,@Smoke,@Sanity","chromium","Sat Feb 21 16:30:38 UTC 2026","passed","Sat Feb 21 16:30:39 UTC 2026","Login tests","login.spec.ts","",""
"","1063","Verifi removing item from cart and cart badge update @Regression,@Smoke","chromium","Sat Feb 21 16:30:33 UTC 2026","passed","Sat Feb 21 16:30:34 UTC 2026","Home tests","home.spec.ts","",""
"","460","login with invalid email and password @Regression,@Smoke","chromium","Sat Feb 21 16:30:40 UTC 2026","passed","Sat Feb 21 16:30:41 UTC 2026","Login tests","login.spec.ts","",""
"","777","Verify home title and filter dropdown @Regression,@Smoke","chromium","Sat Feb 21 16:30:31 UTC 2026","passed","Sat Feb 21 16:30:31 UTC 2026","Home tests","home.spec.ts","",""
"","470","login with invalid email @Regression,@Smoke","chromium","Sat Feb 21 16:30:39 UTC 2026","passed","Sat Feb 21 16:30:40 UTC 2026","Login tests","login.spec.ts","",""
"","462","should show error when credentials are empty","chromium","Sat Feb 21 16:30:36 UTC 2026","passed","Sat Feb 21 16:30:37 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","443","should show error when username is missing","chromium","Sat Feb 21 16:30:37 UTC 2026","passed","Sat Feb 21 16:30:38 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","485","should show error for invalid password","chromium","Sat Feb 21 16:30:35 UTC 2026","passed","Sat Feb 21 16:30:36 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
