"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","490","login with invalid email @Regression,@Smoke","chromium","Tue Feb 24 11:55:09 UTC 2026","passed","Tue Feb 24 11:55:09 UTC 2026","Login tests","login.spec.ts","",""
"","804","Verify adding item to cart and cart badge update @Regression,@Smoke","chromium","Tue Feb 24 11:55:02 UTC 2026","passed","Tue Feb 24 11:55:03 UTC 2026","Home tests","home.spec.ts","",""
"","680","Verify home title and filter dropdown @Regression,@Smoke","chromium","Tue Feb 24 11:54:59 UTC 2026","passed","Tue Feb 24 11:55:00 UTC 2026","Home tests","home.spec.ts","",""
"","630","Verify that the user can remove the Sauce Labs Bike Light from the cart @Regression","chromium","Tue Feb 24 11:55:15 UTC 2026","passed","Tue Feb 24 11:55:15 UTC 2026","Sauce Labs Bike Light tests","SauceLabsBikeLight.spec.ts","",""
"","496","should show error for locked_out_user","chromium","Tue Feb 24 11:55:04 UTC 2026","passed","Tue Feb 24 11:55:05 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","607","Verify that the Sauce Labs Red T-Shirt product page displays correct information @Regression","chromium","Tue Feb 24 11:55:21 UTC 2026","passed","Tue Feb 24 11:55:22 UTC 2026","Sauce Labs Red T-Shirt","sauceLabsRedTshirt.spec.ts","",""
"","1407","Verify user can log out successfully @Regression,@Smoke","chromium","Tue Feb 24 11:55:10 UTC 2026","passed","Tue Feb 24 11:55:12 UTC 2026","Logout tests","logout.spec.ts","",""
"","606","Verify that the user can add the Sauce Labs Backpack to the cart @Regression","chromium","Tue Feb 24 11:55:12 UTC 2026","passed","Tue Feb 24 11:55:13 UTC 2026","Sauce Labs Backpack tests","sauceLabsBackpack.spec.ts","",""
"","455","should show error for invalid password","chromium","Tue Feb 24 11:55:05 UTC 2026","passed","Tue Feb 24 11:55:05 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","561","should successfully login with valid credentials","chromium","Tue Feb 24 11:55:04 UTC 2026","passed","Tue Feb 24 11:55:04 UTC 2026","","login_analysis.spec.ts","",""
"","455","login with invalid email and password @Regression,@Smoke","chromium","Tue Feb 24 11:55:10 UTC 2026","passed","Tue Feb 24 11:55:10 UTC 2026","Login tests","login.spec.ts","",""
"","458","login with empty credentials @Regression,@Smoke,@Sanity","chromium","Tue Feb 24 11:55:08 UTC 2026","passed","Tue Feb 24 11:55:08 UTC 2026","Login tests","login.spec.ts","",""
"","603","Verify that the user can add the Sauce Labs Onesie to the cart @Regression","chromium","Tue Feb 24 11:55:20 UTC 2026","passed","Tue Feb 24 11:55:20 UTC 2026","Sauce Labs Onesie","sauceLabsOnesie.spec.ts","",""
"","617","Verify that the user can remove the Sauce Labs Onesie from the cart @Regression","chromium","Tue Feb 24 11:55:20 UTC 2026","passed","Tue Feb 24 11:55:21 UTC 2026","Sauce Labs Onesie","sauceLabsOnesie.spec.ts","",""
"","611","Verify that the Sauce Labs Fleece Jacket product page displays correct information @Regression","chromium","Tue Feb 24 11:55:17 UTC 2026","passed","Tue Feb 24 11:55:18 UTC 2026","Sauce Labs Fleece Jacket","sauceLabsFleeceJacket.spec.ts","",""
"","471","login with locked out user @Regression,@Smoke","chromium","Tue Feb 24 11:55:08 UTC 2026","passed","Tue Feb 24 11:55:09 UTC 2026","Login tests","login.spec.ts","",""
"","591","Verify that the user can add the Sauce Labs Red T-Shirt to the cart @Regression","chromium","Tue Feb 24 11:55:22 UTC 2026","passed","Tue Feb 24 11:55:22 UTC 2026","Sauce Labs Red T-Shirt","sauceLabsRedTshirt.spec.ts","",""
"","411","should show error when credentials are empty","chromium","Tue Feb 24 11:55:06 UTC 2026","passed","Tue Feb 24 11:55:06 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","641","Verify that the user can remove the Sauce Labs Backpack from the cart @Regression","chromium","Tue Feb 24 11:55:13 UTC 2026","passed","Tue Feb 24 11:55:13 UTC 2026","Sauce Labs Backpack tests","sauceLabsBackpack.spec.ts","",""
"","613","Verify that the user can add the Sauce Labs Bike Light to the cart @Regression","chromium","Tue Feb 24 11:55:14 UTC 2026","passed","Tue Feb 24 11:55:15 UTC 2026","Sauce Labs Bike Light tests","SauceLabsBikeLight.spec.ts","",""
"","604","Verify that the Sauce Labs Bike Light product page displays correct information @Regression","chromium","Tue Feb 24 11:55:13 UTC 2026","passed","Tue Feb 24 11:55:14 UTC 2026","Sauce Labs Bike Light tests","SauceLabsBikeLight.spec.ts","",""
"","625","Verify that the user can add the Sauce Labs Fleece Jacket to the cart @Regression","chromium","Tue Feb 24 11:55:18 UTC 2026","passed","Tue Feb 24 11:55:18 UTC 2026","Sauce Labs Fleece Jacket","sauceLabsFleeceJacket.spec.ts","",""
"","451","should show error for invalid credentials","chromium","Tue Feb 24 11:55:05 UTC 2026","passed","Tue Feb 24 11:55:06 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","635","Verify that the user can remove the Sauce Labs Red T-Shirt from the cart @Regression","chromium","Tue Feb 24 11:55:22 UTC 2026","passed","Tue Feb 24 11:55:23 UTC 2026","Sauce Labs Red T-Shirt","sauceLabsRedTshirt.spec.ts","",""
"","616","Verify that the user can remove the Sauce Labs Bolt T-shirt from the cart @Regression","chromium","Tue Feb 24 11:55:17 UTC 2026","passed","Tue Feb 24 11:55:17 UTC 2026","Sauce Labs Bolt T-shirt","sauceLabsBoltTshirt.spec.ts","",""
