"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","760","Verify adding item to cart and cart badge update @Regression,@Smoke","chromium","Tue Feb 24 07:48:50 UTC 2026","passed","Tue Feb 24 07:48:51 UTC 2026","Home tests","home.spec.ts","",""
"","450","should show error when username is missing","chromium","Tue Feb 24 07:48:55 UTC 2026","passed","Tue Feb 24 07:48:56 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","450","login with invalid email and password @Regression,@Smoke","chromium","Tue Feb 24 07:48:58 UTC 2026","passed","Tue Feb 24 07:48:58 UTC 2026","Login tests","login.spec.ts","",""
"","444","should show error when password is missing","chromium","Tue Feb 24 07:48:55 UTC 2026","passed","Tue Feb 24 07:48:55 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","583","Verify that the Sauce Labs Bike Light product page displays correct information @Regression","chromium","Tue Feb 24 07:49:00 UTC 2026","passed","Tue Feb 24 07:49:00 UTC 2026","Sauce Labs Bike Light tests","SauceLabsBikeLight.spec.ts","",""
"","655","Verify home title and filter dropdown @Regression,@Smoke","chromium","Tue Feb 24 07:48:48 UTC 2026","passed","Tue Feb 24 07:48:49 UTC 2026","Home tests","home.spec.ts","",""
"","461","login with invalid email @Regression,@Smoke","chromium","Tue Feb 24 07:48:57 UTC 2026","passed","Tue Feb 24 07:48:58 UTC 2026","Login tests","login.spec.ts","",""
"","564","should successfully login with valid credentials","chromium","Tue Feb 24 07:48:52 UTC 2026","passed","Tue Feb 24 07:48:53 UTC 2026","","login_analysis.spec.ts","",""
"","440","should show error for invalid credentials","chromium","Tue Feb 24 07:48:54 UTC 2026","passed","Tue Feb 24 07:48:54 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","446","should show error for invalid password","chromium","Tue Feb 24 07:48:53 UTC 2026","passed","Tue Feb 24 07:48:54 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","450","login with locked out user @Regression,@Smoke","chromium","Tue Feb 24 07:48:57 UTC 2026","passed","Tue Feb 24 07:48:57 UTC 2026","Login tests","login.spec.ts","",""
"","421","should show error when credentials are empty","chromium","Tue Feb 24 07:48:54 UTC 2026","passed","Tue Feb 24 07:48:55 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","1422","Verify user can log out successfully @Regression,@Smoke","chromium","Tue Feb 24 07:48:58 UTC 2026","passed","Tue Feb 24 07:49:00 UTC 2026","Logout tests","logout.spec.ts","",""
"","493","should show error for locked_out_user","chromium","Tue Feb 24 07:48:53 UTC 2026","passed","Tue Feb 24 07:48:53 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","971","Verifi removing item from cart and cart badge update @Regression,@Smoke","chromium","Tue Feb 24 07:48:51 UTC 2026","passed","Tue Feb 24 07:48:52 UTC 2026","Home tests","home.spec.ts","",""
"","455","login with invalid password @Regression,@Smoke","chromium","Tue Feb 24 07:48:58 UTC 2026","passed","Tue Feb 24 07:48:58 UTC 2026","Login tests","login.spec.ts","",""
"","532","login with valid credentials @Regression,@Smoke,@Sanity","chromium","Tue Feb 24 07:48:56 UTC 2026","passed","Tue Feb 24 07:48:56 UTC 2026","Login tests","login.spec.ts","",""
"","441","login with empty credentials @Regression,@Smoke,@Sanity","chromium","Tue Feb 24 07:48:56 UTC 2026","passed","Tue Feb 24 07:48:57 UTC 2026","Login tests","login.spec.ts","",""
"","602","Verify if all elements on home page are visible @Regression,@Smoke","chromium","Tue Feb 24 07:48:50 UTC 2026","passed","Tue Feb 24 07:48:50 UTC 2026","Home tests","home.spec.ts","",""
