"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","985","Verifi removing item from cart and cart badge update @Regression,@Smoke","chromium","Fri Feb 20 11:33:39 UTC 2026","passed","Fri Feb 20 11:33:40 UTC 2026","Home tests","home.spec.ts","",""
"","463","login with invalid password @Regression,@Smoke","chromium","Fri Feb 20 11:33:43 UTC 2026","passed","Fri Feb 20 11:33:43 UTC 2026","Login tests","login.spec.ts","",""
"","468","login with invalid email @Regression,@Smoke","chromium","Fri Feb 20 11:33:42 UTC 2026","passed","Fri Feb 20 11:33:43 UTC 2026","Login tests","login.spec.ts","",""
"","423","login with empty credentials @Regression,@Smoke,@Sanity","chromium","Fri Feb 20 11:33:41 UTC 2026","passed","Fri Feb 20 11:33:42 UTC 2026","Login tests","login.spec.ts","",""
"","816","Verify home title and filter dropdown @Regression,@Smoke","chromium","Fri Feb 20 11:33:36 UTC 2026","passed","Fri Feb 20 11:33:37 UTC 2026","Home tests","home.spec.ts","",""
"","1430","Verify user can log out successfully @Regression,@Smoke","chromium","Fri Feb 20 11:33:43 UTC 2026","passed","Fri Feb 20 11:33:45 UTC 2026","Logout tests","logout.spec.ts","",""
"","553","login with valid credentials @Regression,@Smoke,@Sanity","chromium","Fri Feb 20 11:33:41 UTC 2026","passed","Fri Feb 20 11:33:41 UTC 2026","Login tests","login.spec.ts","",""
"","455","login with invalid email and password @Regression,@Smoke","chromium","Fri Feb 20 11:33:43 UTC 2026","passed","Fri Feb 20 11:33:43 UTC 2026","Login tests","login.spec.ts","",""
"","910","Verify adding item to cart and cart badge update @Regression,@Smoke","chromium","Fri Feb 20 11:33:38 UTC 2026","passed","Fri Feb 20 11:33:39 UTC 2026","Home tests","home.spec.ts","",""
"","450","login with locked out user @Regression,@Smoke","chromium","Fri Feb 20 11:33:42 UTC 2026","passed","Fri Feb 20 11:33:42 UTC 2026","Login tests","login.spec.ts","",""
"","614","Verify if all elements on home page are visible @Regression,@Smoke","chromium","Fri Feb 20 11:33:37 UTC 2026","passed","Fri Feb 20 11:33:38 UTC 2026","Home tests","home.spec.ts","",""
"","572","should successfully login with valid credentials","chromium","Fri Feb 20 11:33:40 UTC 2026","passed","Fri Feb 20 11:33:41 UTC 2026","","login_analysis.spec.ts","",""
