"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","591","should show error when username is missing","chromium","Fri Feb 20 15:38:30 UTC 2026","passed","Fri Feb 20 15:38:30 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","907","Verify adding item to cart and cart badge update @Regression,@Smoke","chromium","Fri Feb 20 15:38:24 UTC 2026","passed","Fri Feb 20 15:38:25 UTC 2026","Home tests","home.spec.ts","",""
"","593","should show error for invalid credentials","chromium","Fri Feb 20 15:38:28 UTC 2026","passed","Fri Feb 20 15:38:29 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","586","should show error for invalid password","chromium","Fri Feb 20 15:38:27 UTC 2026","passed","Fri Feb 20 15:38:28 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","568","should show error when password is missing","chromium","Fri Feb 20 15:38:29 UTC 2026","passed","Fri Feb 20 15:38:30 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","662","login with valid credentials @Regression,@Smoke,@Sanity","chromium","Fri Feb 20 15:38:30 UTC 2026","passed","Fri Feb 20 15:38:31 UTC 2026","Login tests","login.spec.ts","",""
"","607","login with locked out user @Regression,@Smoke","chromium","Fri Feb 20 15:38:32 UTC 2026","passed","Fri Feb 20 15:38:32 UTC 2026","Login tests","login.spec.ts","",""
"","571","login with empty credentials @Regression,@Smoke,@Sanity","chromium","Fri Feb 20 15:38:31 UTC 2026","passed","Fri Feb 20 15:38:32 UTC 2026","Login tests","login.spec.ts","",""
"","1101","Verifi removing item from cart and cart badge update @Regression,@Smoke","chromium","Fri Feb 20 15:38:25 UTC 2026","passed","Fri Feb 20 15:38:26 UTC 2026","Home tests","home.spec.ts","",""
"","774","Verify home title and filter dropdown @Regression,@Smoke","chromium","Fri Feb 20 15:38:22 UTC 2026","passed","Fri Feb 20 15:38:23 UTC 2026","Home tests","home.spec.ts","",""
"","1552","Verify user can log out successfully @Regression,@Smoke","chromium","Fri Feb 20 15:38:34 UTC 2026","passed","Fri Feb 20 15:38:36 UTC 2026","Logout tests","logout.spec.ts","",""
"","614","login with invalid password @Regression,@Smoke","chromium","Fri Feb 20 15:38:33 UTC 2026","passed","Fri Feb 20 15:38:34 UTC 2026","Login tests","login.spec.ts","",""
"","649","should show error for locked_out_user","chromium","Fri Feb 20 15:38:27 UTC 2026","passed","Fri Feb 20 15:38:27 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","763","Verify if all elements on home page are visible @Regression,@Smoke","chromium","Fri Feb 20 15:38:23 UTC 2026","passed","Fri Feb 20 15:38:24 UTC 2026","Home tests","home.spec.ts","",""
"","558","login with invalid email @Regression,@Smoke","chromium","Fri Feb 20 15:38:32 UTC 2026","passed","Fri Feb 20 15:38:33 UTC 2026","Login tests","login.spec.ts","",""
"","560","should show error when credentials are empty","chromium","Fri Feb 20 15:38:29 UTC 2026","passed","Fri Feb 20 15:38:29 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","692","should successfully login with valid credentials","chromium","Fri Feb 20 15:38:26 UTC 2026","passed","Fri Feb 20 15:38:27 UTC 2026","","login_analysis.spec.ts","",""
"","567","login with invalid email and password @Regression,@Smoke","chromium","Fri Feb 20 15:38:34 UTC 2026","passed","Fri Feb 20 15:38:34 UTC 2026","Login tests","login.spec.ts","",""
