"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","455","login with invalid email and password @Regression,@Smoke","chromium","Sun Feb 22 16:31:15 UTC 2026","passed","Sun Feb 22 16:31:16 UTC 2026","Login tests","login.spec.ts","",""
"","759","Verify home title and filter dropdown @Regression,@Smoke","chromium","Sun Feb 22 16:31:05 UTC 2026","passed","Sun Feb 22 16:31:06 UTC 2026","Home tests","home.spec.ts","",""
"","1391","Verify user can log out successfully @Regression,@Smoke","chromium","Sun Feb 22 16:31:16 UTC 2026","passed","Sun Feb 22 16:31:17 UTC 2026","Logout tests","logout.spec.ts","",""
"","463","login with invalid password @Regression,@Smoke","chromium","Sun Feb 22 16:31:15 UTC 2026","passed","Sun Feb 22 16:31:15 UTC 2026","Login tests","login.spec.ts","",""
"","433","should show error when password is missing","chromium","Sun Feb 22 16:31:12 UTC 2026","passed","Sun Feb 22 16:31:13 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","462","should show error for invalid credentials","chromium","Sun Feb 22 16:31:11 UTC 2026","passed","Sun Feb 22 16:31:12 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","399","login with empty credentials @Regression,@Smoke,@Sanity","chromium","Sun Feb 22 16:31:14 UTC 2026","passed","Sun Feb 22 16:31:14 UTC 2026","Login tests","login.spec.ts","",""
"","439","login with locked out user @Regression,@Smoke","chromium","Sun Feb 22 16:31:14 UTC 2026","passed","Sun Feb 22 16:31:15 UTC 2026","Login tests","login.spec.ts","",""
"","781","Verify adding item to cart and cart badge update @Regression,@Smoke","chromium","Sun Feb 22 16:31:08 UTC 2026","passed","Sun Feb 22 16:31:09 UTC 2026","Home tests","home.spec.ts","",""
"","967","Verifi removing item from cart and cart badge update @Regression,@Smoke","chromium","Sun Feb 22 16:31:09 UTC 2026","passed","Sun Feb 22 16:31:10 UTC 2026","Home tests","home.spec.ts","",""
"","417","should show error when credentials are empty","chromium","Sun Feb 22 16:31:12 UTC 2026","passed","Sun Feb 22 16:31:12 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","432","should show error when username is missing","chromium","Sun Feb 22 16:31:13 UTC 2026","passed","Sun Feb 22 16:31:13 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","531","login with valid credentials @Regression,@Smoke,@Sanity","chromium","Sun Feb 22 16:31:13 UTC 2026","passed","Sun Feb 22 16:31:14 UTC 2026","Login tests","login.spec.ts","",""
"","649","Verify if all elements on home page are visible @Regression,@Smoke","chromium","Sun Feb 22 16:31:07 UTC 2026","passed","Sun Feb 22 16:31:08 UTC 2026","Home tests","home.spec.ts","",""
"","495","should show error for locked_out_user","chromium","Sun Feb 22 16:31:10 UTC 2026","passed","Sun Feb 22 16:31:11 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","471","should show error for invalid password","chromium","Sun Feb 22 16:31:11 UTC 2026","passed","Sun Feb 22 16:31:11 UTC 2026","Login - Negative Tests","login_negative.spec.ts","",""
"","444","login with invalid email @Regression,@Smoke","chromium","Sun Feb 22 16:31:15 UTC 2026","passed","Sun Feb 22 16:31:15 UTC 2026","Login tests","login.spec.ts","",""
"","572","should successfully login with valid credentials","chromium","Sun Feb 22 16:31:10 UTC 2026","passed","Sun Feb 22 16:31:10 UTC 2026","","login_analysis.spec.ts","",""
